101
TraderB B   100 St1
Trader1 S   1   St1
Trader2 S   1   St1
Trader3 S   1   St1
Trader4 S   1   St1
Trader5 S   1   St1
Trader6 S   1   St1
Trader7 S   1   St1
Trader8 S   1   St1
Trader9 S   1   St1
Trader10 S   1   St1
Trader11 S   1   St1
Trader12 S   1   St1
Trader13 S   1   St1
Trader14 S   1   St1
Trader15 S   1   St1
Trader16 S   1   St1
Trader17 S   1   St1
Trader18 S   1   St1
Trader19 S   1   St1
Trader20 S   1   St1
Trader21 S   1   St1
Trader22 S   1   St1
Trader23 S   1   St1
Trader24 S   1   St1
Trader25 S   1   St1
Trader26 S   1   St1
Trader27 S   1   St1
Trader28 S   1   St1
Trader29 S   1   St1
Trader30 S   1   St1
Trader31 S   1   St1
Trader32 S   1   St1
Trader33 S   1   St1
Trader34 S   1   St1
Trader35 S   1   St1
Trader36 S   1   St1
Trader37 S   1   St1
Trader38 S   1   St1
Trader39 S   1   St1
Trader40 S   1   St1
Trader41 S   1   St1
Trader42 S   1   St1
Trader43 S   1   St1
Trader44 S   1   St1
Trader45 S   1   St1
Trader46 S   1   St1
Trader47 S   1   St1
Trader48 S   1   St1
Trader49 S   1   St1
Trader50 S   1   St1
Trader51 S   1   St1
Trader52 S   1   St1
Trader53 S   1   St1
Trader54 S   1   St1
Trader55 S   1   St1
Trader56 S   1   St1
Trader57 S   1   St1
Trader58 S   1   St1
Trader59 S   1   St1
Trader60 S   1   St1
Trader61 S   1   St1
Trader62 S   1   St1
Trader63 S   1   St1
Trader64 S   1   St1
Trader65 S   1   St1
Trader66 S   1   St1
Trader67 S   1   St1
Trader68 S   1   St1
Trader69 S   1   St1
Trader70 S   1   St1
Trader71 S   1   St1
Trader72 S   1   St1
Trader73 S   1   St1
Trader74 S   1   St1
Trader75 S   1   St1
Trader76 S   1   St1
Trader77 S   1   St1
Trader78 S   1   St1
Trader79 S   1   St1
Trader80 S   1   St1
Trader81 S   1   St1
Trader82 S   1   St1
Trader83 S   1   St1
Trader84 S   1   St1
Trader85 S   1   St1
Trader86 S   1   St1
Trader87 S   1   St1
Trader88 S   1   St1
Trader89 S   1   St1
Trader90 S   1   St1
Trader91 S   1   St1
Trader92 S   1   St1
Trader93 S   1   St1
Trader94 S   1   St1
Trader95 S   1   St1
Trader96 S   1   St1
Trader97 S   1   St1
Trader98 S   1   St1
Trader99 S   1   St1
Trader100 S   1   St1
